"","spp","countryCode","stateProvince","locality","lon","lat"
"2447","Guazuma ulmifolia ","BR","Sergipe","Povoado Machado, Próximo a Gruta dos Orixás.",-37.17375,-10.817944
"2448","Hymenaea courbaril ","BR","Bahia","Brejo Olhos d'Água, Trilha ao lado da Serra.",-43.366417,-10.680167
"2449","Cordia trichotoma ","BR","Sergipe","Lagoa do Rancho",-37.278056,-9.917222
"2450","Guazuma ulmifolia ","BR","Ceará","Fazenda Lanchinho",-38.921944,-4.564444
"2451","Mangifera indica ","BR","Sergipe","Povoado cajueiro",-37.315,-10.758056
"2452","Cordia superba ","BR","Sergipe","Serra dos Macacos, Povoado Macacos.",-38.013928,-11.173486
"2453","Cordia superba ","BR","Sergipe","Fazenda Tuim",-37.619444,-11.2625
"2454","Zeyheria tuberculosa ","BR","Maranhão","Estrada para patos bons, BR 230",-43.701944,-6.495
"2455","Senegalia polyphylla ","BR","Sergipe","Serra da Guia",-37.4103,-9.4819
"2456","Clitoria fairchildiana ","BR","Sergipe","Mata em frente ao Campus às margens do Rio Poxim.",-37.206389,-11.014722
"2457","Croton floribundus ","BR","Pernambuco","Usina São José, capoeira 5, Córrego do Urubu.",-34.906353,-7.834372
"2458","Cordia superba ","BR","Pernambuco","Usina São José, Mata de Piedade, Engenho D`Água",-34.989167,-7.848611
"2459","Anadenanthera peregrina ","BR","Sergipe","Lagoa do Rancho, Fazenda São Pedro.",-37.414167,-10.036944
"2460","Cordia superba ","BR","Sergipe","Fazenda Mercador, Borda da Mata",-37.811111,-10.738333
"2461","Cordia trichotoma ","BR","Ceará","Sítio Garapa, Ruderal",-38.708056,-4.224444
"2462","Bixa orellana ","BR","Pernambuco","Usina São José",-34.906111,-7.834444
"2463","Mangifera indica ","BR","Sergipe","Campus Universitário",-37.206389,-11.014722
"2464","Myrsine guianensis ","BR","Sergipe","Povoado Caroba",-37.315,-10.758056
"2465","Paubrasilia echinata ","BR","Sergipe","Campus Universitário",-37.1223,-11.0053
"2466","Peltophorum dubium ","BR","Bahia","Lagoa do Jatobá, Dourados.",-42.504167,-10.003333
"2467","Cordia superba ","BR","Sergipe","Campo Grande",-37.840556,-11.373333
"2468","Guazuma ulmifolia ","BR","Sergipe","Povoado Quebradas II, Sub-bacia hidrográfica Rio Piauitinga. Nascente 12.",-37.474722,-11.031944
"2469","Inga vera ","BR","Maranhão","Margem esquerda do rio Parnaíba",-44.333,-7.1323
"2470","Mangifera indica ","BR","Sergipe","Povoado Margaridas, Sub-Bacia hidrográfica rio Piauitinga. Nascente 01",-37.474722,-11.031944
"2471","Bixa orellana ","BR","Sergipe","Povoado Macedina, Sub-Bacia hidrográfica rio Piauitinga. Nascente 26",-37.474722,-11.031944
"2472","Lecythis pisonis ","BR","Sergipe","Parque Nacional da Serra de Itabaiana",-37.315,-10.758056
"2473","Persea americana ","BR","Sergipe","Povoado cajueiro",-37.1854,-10.4529
"2474","Guazuma ulmifolia ","BR","Sergipe","Fazenda Trapsa",-37.310278,-10.998333
"2475","Panicum maximum ","BR","Rio Grande do Norte","Distrito de Alagoinha, Fazenda Experimental Rafael Fernandes",-37.396111,-5.051944
"2476","Lecythis pisonis ","BR","Sergipe","Faz. Sabão",-37.3041,-11.311
"2477","Apuleia leiocarpa ","BR","Sergipe","Fazenda Trapsa",-37.3041,-10.5954
"2478","Cordia superba ","BR","Sergipe","Povoado Jorge",-37.998056,-11.184167
"2479","Myrsine guianensis ","BR","Pernambuco","Mata de Ronda, Assentamento Cerico Mendes.",-35.395556,-8.141667
"2480","Apuleia leiocarpa ","BR","Sergipe","Fazenda Trapsa",-37.3041,-10.5954
"2481","Cordia trichotoma ","BR","Sergipe","Sítio Boa Esperança",-37.811111,-10.738333
"2482","Inga vera ","BR","Sergipe","Fazenda Trapsa",-37.310278,-10.998333
"2483","Croton floribundus ","BR","Pernambuco","Mata de Ronda, Inseri-se no assentamento Chico Mendes.",-35.2344,-8.083
"2484","Genipa americana ","BR","Distrito Federal","Lago Sul, Próximo a Via Residencial da QL 13",-47.52,-15.53
"2485","Cordia superba ","BR","Sergipe","Mata próximo á BR 101",-36.94,-10.593333
"2486","Lecythis pisonis ","BR","Sergipe","Fazenda Sabão",-37.3041,-11.311
"2487","Genipa americana ","BR","Sergipe","Parque da Cidade",-37.053817,-10.890033
"2488","Carica papaya ","BR","Sergipe","Parque da Cidade",-37.053817,-10.890033
"2489","Apuleia leiocarpa ","BR","Sergipe","Fazenda Trapsa",-37.3041,-10.5954
"2490","Guazuma ulmifolia ","BR","Sergipe","Parque da Cidade (Pq. Gov. Rollemberg Leite), área do zoológico.",-37.053817,-10.909542
"2491","Clitoria fairchildiana ","BR","Sergipe","Campus UFS",-37.206389,-11.014722
"2492","Solanum lycocarpum ","BR","Minas Gerais","",-46.550556,-20.314444
"2493","Mangifera indica ","BR","Sergipe","Campus da U.F.S.",-37.206389,-11.014722
"2494","Inga vera ","BR","Paraíba","Borda do riacho de Natuba, Ramificação da estrada.",-35.549722,-7.641667
"2495","Clitoria fairchildiana ","BR","Sergipe","Parque da Cidade (Pq. Gov. Rollemberg Leite), área do zoológico.",-37.053817,-10.909542
"2496","Hymenaea courbaril ","BR","Paraíba","Sítio Paquevira de Natuba",-35.549722,-7.641667
"2497","Lecythis pisonis ","BR","Sergipe","Fazenda Trapsa",-37.310278,-10.998333
"2498","Pterogyne nitens ","BR","Paraíba","",-38.404444,-7.501667
"2499","Mangifera indica ","BR","Sergipe","Parque da Cidade",-37.053817,-10.890033
"2500","Mangifera indica ","BR","Sergipe","Parque dos Cajueiros",-37.071667,-10.911111
"2501","Maclura tinctoria ","BR","Paraíba","prox. Casas, porém refer. Com nativo na área",-38.508611,-7.562222
"2502","Paubrasilia echinata ","BR","Sergipe","Parque da Cidade",-37.053817,-10.890033
"2503","Genipa americana ","BR","Sergipe","Povoado Ribeira",-37.253,-10.4107
"2504","Genipa americana ","BR","Sergipe","Parque da Cidade",-37.053817,-10.890033
"2505","Mangifera indica ","BR","Sergipe","Parque da Sementeira",-37.071667,-10.911111
"2506","Clitoria fairchildiana ","BR","Sergipe","Parque dos Cajueiros",-37.071667,-10.911111
"2507","Maclura tinctoria ","BR","Paraíba","prox. Casas, porém refer. Com nativo na área",-38.508611,-7.562222
"2508","Clitoria fairchildiana ","BR","Sergipe","Parque da Cidade",-37.053817,-10.890033
"2509","Paubrasilia echinata ","BR","Sergipe","Parque da Sementeira",-37.0418,-10.544
"2510","Clitoria fairchildiana ","BR","Sergipe","Parque da Sementeira",-37.071667,-10.911111
"2511","Cajanus cajan ","BR","Alagoas","Sítio Boa Vista",-36.633333,-9.536944
"2512","Lecythis pisonis ","BR","Sergipe","Povoado São José, P.A. Ivan Ribeiro.",-36.94,-10.593333
"2513","Clitoria fairchildiana ","BR","Sergipe","Ass. Caraíbas",-36.94,-10.593333
"2514","Guazuma ulmifolia ","BR","Alagoas","Usina Coruripe, Fazenda Progresso, Bloco Destilaria, mata em encosta.",-36.223889,-10.071667
"2515","Lecythis pisonis ","BR","Sergipe","Fazenda Trapsa",-37.310278,-10.998333
"2516","Clitoria fairchildiana ","BR","Sergipe","Praça Fausto Cardoso.",-37.071667,-10.911111
"2517","Maclura tinctoria ","BR","Piauí","Junco, Mata do Morro da Gata.",-42.801944,-5.089444
"2518","Mangifera indica ","BR","Sergipe","Povoado Boa Vista, Rio Piauitinga, nascente 3 e 4.",-37.540556,-10.666667
"2519","Clitoria fairchildiana ","BR","Sergipe","Parque Teófilo Dantas",-37.0418,-10.544
"2520","Mangifera indica ","BR","Sergipe","Parque Teófilo Dantas",-37.071667,-10.911111
"2521","Paubrasilia echinata ","BR","Sergipe","Parque Teófilo Dantas",-37.0418,-10.544
"2522","Alchornea triplinervia ","CO","Caquetá","carretera Belén - Aletones.  La Abeja.",-75.8775,1.44467
"2523","Myrsine guianensis ","BR","Distrito Federal","Cerrados a leste da Fazenda Sucupira (CENARGEN/EMBRAPA). Margem direita da estrada principal, sentido Sede-Núcleo Bandeirante, onde passa córrego artificial",-48.033333,-15.924167
"2524","Guazuma ulmifolia ","BR","Bahia","",-38.316667,-12.683333
"2525","Paubrasilia echinata ","BR","Bahia","Litoral Norte",-38.083333,-11.933333
"2526","Myrsine guianensis ","BR","Bahia","Chapada Diamantina, Trilha do Bodão, margem direita, afluente do rio Ribeirão, a 4 km aproximadamente após a Cachoeira do Sossego, sentido nascente. Parque Nacional da Chapada Diamantina",-41.45,-12.466667
"2527","Myrsine guianensis ","BR","Bahia","Chapada Diamantina, Trilha do Bodão, margem direita, afluente do rio Ribeirão, a 4 km aproximadamente após a Cachoeira do Sossego, sentido nascente. Parque Nacional da Chapada Diamantina",-41.45,-12.466667
"2528","Alchornea triplinervia ","BR","Bahia","Chapada Diamantina, Trilha do Bodão, margem direita,afluente do rio Ribeirão. Parque Nacional da Chapada Diamantina",-41.45,-12.466667
"2529","Enterolobium contortisiliquum ","BR","Bahia","Chapada Diamantina, Serra do Tombador, Fazenda Tombador",-41,-13
"2530","Myrsine guianensis ","BR","Bahia","RPPN Lontra/Saudade.",-37.9425,-12.377778
"2531","Hymenaea courbaril ","BR","Bahia","Mata Ciliar do Rio Paraguaçu.",-41.256944,-12.225833
"2532","Cordia superba ","BR","Bahia","Mata ciliar do rio Tijuco.",-41.256944,-12.225833
"2533","Anadenanthera peregrina ","BR","Bahia","Mata ciliar do rio Tijuco",-41.256944,-12.225833
"2534","Peltophorum dubium ","BR","Bahia","Mata Ciliar do Rio Paraguaçu.",-40.576667,-13.002778
"2535","Genipa americana ","BR","Bahia","Mata Ciliar do Rio Paraguaçu.",-40.576667,-13.002778
"2536","Pouteria caimito ","BR","Bahia","Chapada Diamantina, Fazenda Ribeirão da Serra, margem do Rio Sincor , ca. de 2 Km a Nordeste da sede",-41.283333,-13.4
"2537","Myrsine guianensis ","BR","Bahia","Serra da Jibóia, Fazenda Jequitibá.",-39.466667,-12.866667
"2538","Panicum maximum ","BR","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo. Floresta ribeirinha altomontana com campo adjacente.",-46.44,-23.59
"2539","Panicum maximum ","BR","Mato Grosso","Beira da estrada Juína-Juruena. Contato Floresta Ombrófila-Floresta Estacional",-58.44,-10.57
"2540","Copaifera langsdorffii ","BR","Mato Grosso","Fazenda Cocal. Savana arborizada (cerrado).",-56.15,-14.3
"2541","Copaifera langsdorffii ","BR","Mato Grosso","Crista da Serra da Bocaina. 15 Km SW (em linha reta) de Alto Paraguai. Estrada para Tira Sentido. Savana arborizada (cerrado) entre rochas.",-56.35,-14.37
"2542","Copaifera langsdorffii ","BR","Mato Grosso","Arredores da Fazenda Quebó. Cerca de 37 Km ENE (em linha reta) de Nobres. Savana arborizada (cerrado) mais densa em topo de morro com solo férrico (canga).",-56,-14.37
"2543","Hymenaea courbaril ","BR","Mato Grosso","Arredores da Fazenda Quebó. Cerca de 37 Km ENE (em linha reta) de Nobres. Savana arborizada (cerrado) mais densa em topo de morro com solo férrico (canga).",-56,-14.37
"2544","Copaifera langsdorffii ","BR","Mato Grosso","Fazenda Arinos. Savana Arborizada, solo arenoso",-56.29,-13.51
"2545","Handroanthus heptaphyllus ","BR","Mato Grosso","Transpantaneira road near Pousada das Araras",-56.42,-16.31
"2546","Cariniana estrellensis ","BR","São Paulo","Mata da Casa Branca. Mata mesófila semidecídua.",-47.025,-23.16
"2547","Peltophorum dubium ","BR","Rio de Janeiro","Campo Grande; Complexo Guandu do Sâpe; Trilha da mata saída próxima ao páiol de munição - Pista de reação; Floresta Ombrófila Densa",-43.5859,-22.8541
"2548","Clitoria fairchildiana ","BR","Rio de Janeiro","Campo Grande; Complexo Guandu do Sâpe; Trilha da mata saída próxima ao páiol de munição - Pista de reação; Floresta Ombrófila Densa",-43.5859,-22.8541
"2549","Peltophorum dubium ","BR","Rio de Janeiro","Campo Grande; Complexo Guandu do Sâpe; Trilha da mata saída próxima ao páiol de munição - Pista de reação; Floresta Ombrófila Densa",-43.5859,-22.8541
"2550","Lecythis pisonis ","BR","Rio de Janeiro","Campo Grande; Complexo Guandu do Sâpe; Trilha da mata saída próxima ao páiol de munição - Pista de reação; Floresta Ombrófila Densa",-43.5859,-22.8541
"2551","Enterolobium contortisiliquum ","BR","São Paulo","Mata do Pinheirinho. Fragmento de Floresta Estacional Semidecidual conservado.",-47.66283,-22.92423
"2552","Zeyheria tuberculosa ","BR","São Paulo","Mata do Pinheirinho. Fragmento de Floresta Estacional Semidecidual conservado.",-47.66002,-22.92376
"2553","Balfourodendron riedelianum ","BR","São Paulo","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual, próxima à área de agropecuária.",-47.82393,-22.7782
"2554","Cariniana estrellensis ","BR","São Paulo","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual, próxima à área de agropecuária.",-47.82393,-22.7782
"2555","Peltophorum dubium ","BR","São Paulo","Instituto de Zootecnia. Borda de fragmento de Floresta Estacional Semidecidual degradada.",-47.28458,-22.75601
"2556","Panicum maximum ","BR","São Paulo","Instituto de Zootecnia. Fragmento de Floresta Estacional Semidecidual degradado",-47.28982,-22.76017
"2557","Handroanthus heptaphyllus ","BR","São Paulo","Instituto de Zootecnia. Borda de fragmento de Floresta Estacional Semidecidual degradada.",-47.28555,-22.75618
"2558","Citharexylum myrianthum ","BR","São Paulo","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual, próxima à área de agropecuária.",-47.82393,-22.7782
"2559","Citharexylum myrianthum ","BR","São Paulo","Instituto de Zootecnia. Borda de fragmento de Floresta Estacional Semidecidual degradada.",-47.28458,-22.75601
"2560","Guazuma ulmifolia ","BR","São Paulo","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual, próxima à área de agropecuária.",-47.82393,-22.7782
"2561","Myrsine guianensis ","BR","São Paulo","Instituto de Zootecnia. Borda de fragmento de Floresta Estacional Semidecidual degradada.",-47.28555,-22.75618
"2562","Peltophorum dubium ","BR","São Paulo","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual.",-47.82555,-22.77873
"2563","Cordia trichotoma ","BR","São Paulo","Instituto de Zootecnia. Fragmento de Floresta Estacional Semidecidual degradado",-47.27937,-22.76544
"2564","Panicum maximum ","BR","São Paulo","Mata do Pinheirinho. Borda de Floresta Estacional Semidecidual em área agrílcola da COSAN.",-47.65933,-22.92664
"2565","Inga marginata ","BR","São Paulo","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual, próxima à área de agropecuária.",-47.82393,-22.7782
"2566","Maclura tinctoria ","BR","São Paulo","Instituto de Zootecnia. Fragmento de Floresta Estacional Semidecidual degradado",-47.27937,-22.76544
"2567","Balfourodendron riedelianum ","BR","São Paulo","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual.",-47.82555,-22.77873
"2568","Croton floribundus ","BR","São Paulo","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual, próxima à área de agropecuária.",-47.82393,-22.7782
"2569","Balfourodendron riedelianum ","BR","São Paulo","Mata do Pinheirinho. Floresta Estacional Semidecidual em área agrílcola da COSAN.",-47.66292,-22.9241
"2570","Senegalia polyphylla ","BR","São Paulo","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual, próxima à área de agropecuária.",-47.82393,-22.7782
"2571","Inga marginata ","BR","São Paulo","Instituto de Zootecnia. Interior de fragmento de Floresta Estacional Semidecidual degradada.",-47.28458,-22.75601
"2572","Clitoria fairchildiana ","BR","Rio de Janeiro","Fragmento 49 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-44.2882,-22.4691
"2573","Inga marginata ","BR","São Paulo","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual Aluvial. Margem de córrego.",-47.82382,-22.77823
"2574","Copaifera langsdorffii ","BR","São Paulo","Instituto de Zootecnia. Fragmento de Floresta Estacional Semidecidual degradado",-47.28142,-22.76742
"2575","Cordia trichotoma ","BR","São Paulo","Instituto de Zootecnia. Borda de fragmento de Floresta Estacional Semidecidual degradada.",-47.28458,-22.75601
"2576","Senegalia polyphylla ","BR","São Paulo","Fragmento 2900 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-45.6848,-23.1347
"2577","Croton urucurana ","BR","São Paulo","Fragmento 31 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-45.4403,-22.8879
"2578","Croton floribundus ","BR","São Paulo","Fragmento 23 (TAV). Floresta Estacional Semidecidual com elementos de Floresta Ombrófila Densa.",-46.0303,-23.2759
"2579","Acnistus arborescens ","BR","Rio de Janeiro","Fragmento 5100 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-44.1488,-22.477
"2580","Citharexylum myrianthum ","BR","São Paulo","Fragmento 5 (TAV). Floresta Estacional Semidecidual",-47.0488,-23.0657
"2581","Clitoria fairchildiana ","BR","Rio de Janeiro","Fragmento 54 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-44.0871,-22.5903
"2582","Senna multijuga ","BR","São Paulo","Fragmento 10 (TAV). Floresta Estacional Semidecidual",-46.8392,-23.2835
"2583","Panicum maximum ","BR","São Paulo","Fragmento 1 (TAV). Floresta Estacional Semidecidual",-47.1486,-22.9056
"2584","Alchornea triplinervia ","BR","São Paulo","Fragmento 31 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-45.4403,-22.8879
"2585","Croton floribundus ","BR","São Paulo","Fragmento 43 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-44.8076,-22.5215
"2586","Croton floribundus ","BR","São Paulo","Fragmento 3 (TAV). Floresta Estacional Semidecidual",-47.0892,-23.0129
"2587","Inga vera ","BR","São Paulo","Fragmento 21 (TAV). Floresta ciliar em área de contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-46.098,-23.3085
"2588","Cordia trichotoma ","BR","São Paulo","Fragmento 3 (TAV). Floresta Estacional Semidecidual",-47.0892,-23.0129
"2589","Panicum maximum ","BR","Rio de Janeiro","Fragmento 49 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-44.2882,-22.4691
"2590","Citharexylum myrianthum ","BR","São Paulo","Fragmento 26 (TAV). No limite de propriedade com a indústria GM Motors. Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-45.8321,-23.1666
"2591","Cordia superba ","BR","São Paulo","Fragmento 34 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-45.2296,-22.7718
"2592","Senna multijuga ","BR","São Paulo","Fragmento 34 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-45.2296,-22.7718
"2593","Senegalia polyphylla ","BR","Rio de Janeiro","Fragmento 56 (TAV). Floresta Ombrófila Densa.",-43.9871,-22.5971
"2594","Citharexylum myrianthum ","BR","São Paulo","Fragmento 31 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-45.4403,-22.8879
"2595","Citharexylum myrianthum ","BR","Rio de Janeiro","Fragmento 49 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-44.2882,-22.4691
"2596","Enterolobium contortisiliquum ","BR","Rio de Janeiro","Fragmento 53 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-44.0993,-22.5732
"2597","Senegalia polyphylla ","BR","São Paulo","Fragmento 42 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-44.8127,-22.5289
"2598","Croton urucurana ","BR","São Paulo","Fragmento 32 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-45.3505,-22.8629
"2599","Inga vera ","BR","Rio de Janeiro","Fragmento 53 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-44.0993,-22.5732
"2600","Cariniana estrellensis ","BR","São Paulo","Reserva Particular da Votorantim (CBA). UHE da Barra, trilha da Pedreira",-47.37243,-24.02862
"2601","Cariniana estrellensis ","BR","São Paulo","Reserva Particular da Votorantim (CBA). UHE da Barra, trilha da Pedreira",-47.37243,-24.02862
"2602","Alchornea glandulosa ","BR","São Paulo","Reserva Particular da Votorantim (CBA). UHE - Trilha da Chaminé, Floresta Ombrófila Densa na beira do ribeirão do veado",-47.204722,-24.110555
"2603","Inga marginata ","BR","São Paulo","Trilha da casa da pedra, UHE do Juquiá, Serraria, Floresta Ombrófila Densa.",-47.55755,-24.16651
"2604","Senna multijuga ","BR","São Paulo","Trilha entre a UHE Alecrim e UHE Porto Raso. Floresta Ombrófila Densa, na margem do rio Dezembro.",-47.45029,-24.07695
"2605","Alchornea triplinervia ","BR","São Paulo","Reserva Particular da Votorantim (CBA). UHE - Trilha da Chaminé, Floresta Ombrófila Densa na beira do ribeirão do veado",-47.204722,-24.110555
"2606","Alchornea triplinervia ","BR","São Paulo","Trilha da casa da pedra, UHE do Juquiá, Serraria, Floresta Ombrófila Densa.",-47.55755,-24.16651
"2607","Cariniana estrellensis ","BR","São Paulo","Reserva Particular da Votorantim (CBA). UHE da Barra, trilha da caixa d'água para vila de moradores. Floresta Ombrófila Densa com perturbação antrópica (presença de exóticas como nêspera, Citrus, araucária).",-47.31,-24.02
"2608","Inga marginata ","BR","São Paulo","Trilha entre a UHE Alecrim e UHE Porto Raso. Floresta Ombrófila Densa, na margem do rio Dezembro.",-47.45029,-24.07695
"2609","Cariniana estrellensis ","BR","São Paulo","Reserva Particular da Votorantim (CBA). UHE da Barra, trilha da caixa d'água para vila de moradores. Floresta Ombrófila Densa com perturbação antrópica.(presença de exóticas como nêspera, Citrus, araucária).",-47.31605,-24.02022
"2610","Croton urucurana ","BR","São Paulo","Represa São Luis.",-47.427549,-22.826148
"2611","Alchornea glandulosa ","BR","Minas Gerais","Jardim Botânico da UFJF, Borda da mata",-43.370556,-21.729444
"2612","Panicum maximum ","CO","Caldas","Vereda La Cabaña",-75.62268,5.08453
"2613","Genipa americana ","CO","Huila","Vereda San Antonio",-75.23689,3.22146
"2614","Panicum maximum ","CO","Boyacá","Hacienda Balú",-74.45261,5.95331
"2615","Genipa americana ","CO","Caldas","Camino que conduce del embalsea la escuela el Trébol, sector el Horno",-74.927444,5.565944
"2616","Panicum maximum ","CO","Caldas","Vereda San Peregrino",-75.57502,5.059788
"2617","Panicum maximum ","CO","Caldas","Vereda Santagueda",-75.679309,5.1025
"2618","Genipa americana ","CO","Huila","Vereda San Antonio, sector El Chiflón, cerca a la quebrada Tambilla",-75.23689,3.22146
"2619","Cajanus cajan ","CO","Caldas","Vereda Santagueda, Granja Montelindo",-75.688725,5.086719
"2620","Guazuma ulmifolia ","CO","Caldas","Vereda Quiebra de Vélez",-75.548649,5.107422
"2621","Genipa americana ","CO","Caldas","Hacienda Santa Teresa",-75.865699,5.088773
"2622","Panicum maximum ","CO","Caldas","Vereda El Crucero",-75.800627,5.056859
"2623","Alchornea glandulosa ","CO","Risaralda","Reserva forestal La Nona, Cerro de La Nona",-75.722318,4.886589
"2624","Genipa americana ","CO","Caldas","Vereda el Llano de Victoria, margen quebrada Casanguillas, entre la desembocadura de la quebrada y el cruce de la carretera hacia Purnio",-74.830556,5.325
"2625","Genipa americana ","CO","Caldas","Zona de protección, Embalse La Miel",-74.891915,5.556996
"2626","Cordia superba ","BR","Paraíba","Reserva Biológica Guaribas, Area 3, reserva Rio Tinto, ca. 5 km ENE of Mamanguape, at edge of town of Rio Tinto.",-35.084444,-6.804722
"2627","Cordia superba ","BR","Paraíba","Reserva Biológica Guaribas, Area 2, """"""""Posto de Cimento""""""""",-35.179167,-6.708889
"2628","Plathymenia foliolosa ","BR","Maranhão","Ilha de Balsas, Rios Balsas and Paraíba, Several km E of main house of Fazenda """"""""morros"""""""", about 35 km south of Loreto",-45.066667,-7.383333
"2629","Panicum maximum ","BR","São Paulo","Fazenda of Sr. Lauro Toledo.",-50.8,-22.533333
"2630","Genipa americana ","BR","Maranhão","Ilha de Balsas, Between the Balsas & Parnaíba rivers. Ca. 300 m south of main house of Fazenda Morros, ca. 35 km south of Loreto",-45.066667,-7.383333
"2631","Senegalia polyphylla ","BR","Tocantins","South edge of city of Gurupi a few hundred meters west of Belém-Brasília highway, ca. 1 km north of brock that lines south edge of city.",-49.666667,-11.716667
"2632","Senna multijuga ","SR","","clearings in riverine forest, Kayser Airstrip, 45km above confluence with Lucie river",-56.816667,3.333333
"2633","Senna multijuga ","SR","","Along riaver margin, 2km above confluence with Lucie River",-56.816667,3.333333
"2634","Copaifera langsdorffii langsdorffii","BR","São Paulo","Estrada S. Paulo - Itapetininga, Km 175, cabeceira do Ribeirão dos Fragas",-47.9,-23.35
"2635","Handroanthus serratifolius ","BR","Amapá","Along river margim. Riv camopi, 0-15 km from its confluence with rio Oiapoque.",-52.324167,-3.17
"2636","Panicum maximum ","BR","Maranhão","Ilha de Balsas, Region between the Balsas & Parnaíba Rivers. 40 km south of Loreto. Near """"""""Riacho da Picada"""""""".",-45.116667,-7.433333
"2637","Panicum maximum ","BR","São Paulo","Fazenda Campininha, """"""""Campos das Sete Lagoas"""""""". Fazenda Campininha, just north of Rio Mogi-Guaçu. Ca. 6 km NW of Padua Sales. 3 km N of river.",-47.116667,-22.183333
"2638","Peltophorum dubium ","BR","Paraná","",-48.18,-24.84
"2639","Enterolobium contortisiliquum ","BR","Paraná","",-52.02,-23.399722
"2640","Balfourodendron riedelianum ","BR","Paraná","",-51.12,-24.66
"2641","Panicum maximum ","BR","Paraná","",-53.28,-24.66
"2642","Senegalia polyphylla ","BR","Paraná","",-52.56,-23.04
"2643","Guazuma ulmifolia ","BR","Paraná","",-54.311072,-25.033333
"2644","Inga marginata ","BR","São Paulo","Estrada do Cabuçu, Sítio Sr José Aparecido",-46.55,-23.415556
"2645","Guazuma ulmifolia ","BR","Paraná","",-53.46,-22.86
"2646","Albizia niopoides ","BR","Paraná","",-53.46,-23.22
"2647","Senegalia polyphylla ","BR","Paraná","",-51.84,-24.48
"2648","Copaifera langsdorffii ","BR","Paraná","",-52.56,-23.76
"2649","Albizia niopoides ","BR","Paraná","",-53.82,-23.4
"2650","Pterogyne nitens ","BR","Paraná","",-48.36,-24.84
"2651","Pterogyne nitens ","BR","Paraná","",-53.28,-23.399722
"2652","Guazuma ulmifolia ","BR","Paraná","",-51.66,-22.68
"2653","Solanum granulosoleprosum ","BR","Paraná","",-51.66,-24.48
"2654","Mangifera indica ","BR","Paraná","",-52.74,-23.4
"2655","Croton urucurana ","BR","Paraná","",-50.94,-23.22
"2656","Cariniana estrellensis ","BR","Paraná","",-53.1,-23.399722
"2657","Albizia niopoides ","BR","Paraná","",-51.48,-23.22
"2658","Senegalia polyphylla ","BR","Paraná","",-53.82,-25.199722
"2659","Solanum granulosoleprosum ","BR","Paraná","",-51.12,-23.58
"2660","Panicum maximum ","BR","Paraná","",-51.12,-23.58
"2661","Panicum maximum ","BR","Paraná","",-53.64,-24.48
"2662","Citharexylum myrianthum ","BR","Paraná","",-50.22,-23.04
"2663","Citharexylum myrianthum ","BR","São Paulo","Obra de arte 420.",-46.41925,-23.392139
"2664","Apuleia leiocarpa ","BR","Rio de Janeiro","Conglomerado 184-3-5-18",-43.05,-22.083333
"2665","Panicum maximum ","BR","São Paulo","Fazenda Campininha, Reserva Biológica de Mogi-Guaçu. Gleba A.",-47.157683,-22.252211
"2666","Inga vera ","BR","São Paulo","Parque Estadual das Fontes do Ipiranga, Instituto de Botânica, estacionamento do Núcleo de Ecologia",-46.622222,-23.640556
"2667","Panicum maximum ","BR","São Paulo","Fazenda Campininha, Reserva Biológica de Mogi-Guaçu. Gleba B.",-47.147922,-22.190278
"2668","Cajanus cajan ","PY","Amambay","Alrededores de Pedro Juan Caballero, predio de la Universidade Catolica.",-55.734444,-22.575556
